time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2026-08-14T00:00:00Z,28.7,72,0,11.2
2026-08-14T01:00:00Z,27.9,78,0,7.9
2026-08-14T02:00:00Z,27.5,82,0,2.8
2026-08-14T03:00:00Z,27.3,87,0,2.9
2026-08-14T04:00:00Z,27.2,84,0,5.2
2026-08-14T05:00:00Z,26.7,85,0,4.1
2026-08-14T06:00:00Z,26.3,90,0,4.3
2026-08-14T07:00:00Z,26.3,89,0,1.8
2026-08-14T08:00:00Z,26.1,87,0,3.1
2026-08-14T09:00:00Z,25.9,89,0,4.2
2026-08-14T10:00:00Z,25.8,89,0,5.7
2026-08-14T11:00:00Z,25.8,91,0,6.2
2026-08-14T12:00:00Z,26.7,92,0,5
2026-08-14T13:00:00Z,28.4,91,0,9.2
2026-08-14T14:00:00Z,30,82,0,9.2
2026-08-14T15:00:00Z,31,82,0,5.9
2026-08-14T16:00:00Z,32.6,70,0,2.9
2026-08-14T17:00:00Z,33.1,60,0,2.2
2026-08-14T18:00:00Z,33.8,56,0,5.5
2026-08-14T19:00:00Z,31.4,74,0,13
2026-08-14T20:00:00Z,24.5,100,74.5,11.9
2026-08-14T21:00:00Z,26.8,85,9,17.1
2026-08-14T22:00:00Z,27.1,83,0,12
2026-08-14T23:00:00Z,27.5,84,0,5.7
2026-08-15T00:00:00Z,26.4,88,0,7.4
2026-08-15T01:00:00Z,26.1,91,0,6.4
2026-08-15T02:00:00Z,25.7,89,0,6.6
2026-08-15T03:00:00Z,25.6,90,0,5.1
2026-08-15T04:00:00Z,25.4,93,0,1.5
2026-08-15T05:00:00Z,25.4,92,0,4.7
2026-08-15T06:00:00Z,25.2,89,0,6.4
2026-08-15T07:00:00Z,24.5,89,0,5
2026-08-15T08:00:00Z,24.3,94,0,5.4
2026-08-15T09:00:00Z,24.5,88,0,9.8
2026-08-15T10:00:00Z,24.4,93,0,7.1
2026-08-15T11:00:00Z,24.3,92,0,5.1
2026-08-15T12:00:00Z,25.2,95,0,5.1
2026-08-15T13:00:00Z,27.1,90,0,6.2
2026-08-15T14:00:00Z,29.1,90,0,2.6
2026-08-15T15:00:00Z,30.4,85,0,3.2
2026-08-15T16:00:00Z,31.3,77,0,0
2026-08-15T17:00:00Z,31.7,80,0,5.1
2026-08-15T18:00:00Z,31.3,82,0,12.5
2026-08-15T19:00:00Z,31.4,77,0,8.4
2026-08-15T20:00:00Z,30.2,76,0,2.9
2026-08-15T21:00:00Z,31.2,83,0.4,0.5
2026-08-15T22:00:00Z,29.3,93,0,5.4
2026-08-15T23:00:00Z,29.6,81,0,2.9
2026-08-16T00:00:00Z,28.3,88,0,3.4
2026-08-16T01:00:00Z,27.8,82,0,5.9
2026-08-16T02:00:00Z,27.2,88,0,2.1
2026-08-16T03:00:00Z,27.1,89,0,4.5
2026-08-16T04:00:00Z,26.4,88,0,4.9
2026-08-16T05:00:00Z,26.3,91,0,4.8
2026-08-16T06:00:00Z,26.3,89,0,2.3
2026-08-16T07:00:00Z,26.5,84,0,2.4
